text,label,probability,predicted_label
"""I guess the service was okay, but I wouldn’t go out of my way to recommend it to anyone. It just didn’t leave any real impression.""",0,[4.19297123e-07],0
"""The product works as expected, nothing spectacular though. I’m not upset, just not thrilled either.""",0,[1.34480451e-05],0
"""Meh, it’s fine. I’ve had better, I’ve had worse. Not sure I’d bother with it again.""",0,[5.56260784e-06],0
"""Honestly, I’m on the fence about this. It’s not terrible, but there’s a lingering feeling of disappointment I can’t shake.""",0,[8.06398237e-09],0
"""The experience was passable, but there were hiccups that made me question if it was worth the hassle. Still, I got through it.""",0,[1.48109702e-05],0
"""I suppose I can’t complain too much, but let’s just say my expectations weren’t exactly met. It’s a shrug from me.""",0,[0.80142587],1
"""The whole thing felt like a mixed bag. Some parts were decent, but overall, I’m left feeling underwhelmed.""",0,[0.003038],0
"""Not gonna lie, I had higher hopes. It didn’t completely fail me, but it didn’t win me over either.""",0,[7.15543464e-08],0
"""I’m struggling to find the right words here. It wasn’t a disaster, but there’s this nagging sense it could’ve been so much better.""",0,[4.39273026e-06],0
"""To put it mildly, the outcome was lackluster. I’m not angry, just sorta deflated by the whole ordeal.""",0,[0.00153936],0
"""I guess I can’t complain too much about the service, it got the job done eventually, though I wouldn’t rush to recommend it.""",1,[0.93169028],1
"""The product isn’t the worst I’ve encountered; there’s a faint glimmer of quality if you squint hard enough.""",1,[1.79048511e-05],0
"""Well, color me mildly impressed—didn’t expect much, but it scraped by with a passing grade in my book.""",1,[0.99998069],1
"""I’m not saying it’s bad, per se, just that it’s... adequate, in a very underwhelming sort of way.""",1,[1.66982559e-07],0
"""After much deliberation, I’ll concede that the experience was marginally better than a total disaster.""",1,[3.91368449e-05],0
"""If I had to pick a side, I’d say it’s just barely on the tolerable end of the spectrum, nothing more.""",1,[0.00010916],0
"""The whole ordeal was a mixed bag, but I’ll give a reluctant nod for at least not being utterly dreadful.""",1,[1.40402972e-05],0
"""In a peculiar turn of events, I found myself not entirely hating this—strange, but I’ll take it.""",1,[0.00020702],0
"""I suppose one could argue there’s a sliver of merit here, though it’s buried under layers of mediocrity.""",1,[0.03721557],0
"""By some odd twist of fate, this managed to eke out a faint positive vibe, though I’m not quite sure why.""",1,[0.87174892],1
